pdb_id	round	resolution	cc_mask_pre	cc_mask_post	cc_mask_delta	d_fsc_model_pre	d_fsc_model_post	d_fsc_model_delta_pct	status
11JF	14	2.85	0.8053	0.8152	0.0099	2.860180720461619	2.8570276699501407	-0.1102	measured
21AO	14	2.85	0.8338	0.8344	0.0006	2.812499371582172	2.812499371582172	0.0000	measured
10ES	14	3.0	0.7491	0.7909	0.0418	3.0110005097021664	2.973979057227583	-1.2295	measured
10IJ	14	3.1	0.7893	0.8137	0.0244	2.721720392928241	2.703620508794614	-0.6650	measured
10ET	15	3.0	0.7822	0.7471	-0.0351	3.1805322824964932	3.155765339334303	-0.7787	measured
10BU	15	3.2	0.7577	0.7278	-0.0299	4.3513179439314325	4.559556403675602	4.7856	measured
10EO	15	3.2	0.8707	0.8486	-0.0221	3.0969355219108263	3.089150924811778	-0.2514	measured
10EQ	15	3.3	0.7162	0.7765	0.0603	3.446562017509321	3.3654422777076407	-2.3536	measured
10FI	15	3.3	0.8181	0.8155	-0.0026	3.264513685069884	3.264418733519786	-0.0029	measured
10EH	15	3.5	0.6531	0.7799	0.1268	3.5554341588116367	3.528686474336552	-0.7523	measured
10RI	15	3.6	0.7481	0.7596	0.0115	3.237783650448178	3.2521631250810787	0.4441	measured
10DQ	15	3.9	0.7536	0.7687	0.0151	3.90397864692332	3.90397864692332	0.0000	measured
11MR	14								skipped: unparameterised ligand (128 atoms)
10EG	15								skipped: unparameterised ligand (195 atoms)
10EN	15								skipped: atom type absent from electron scattering table (O1-)
9VXE	<=12								skipped: real_space_refine failed
13GH	<=12								skipped: real_space_refine failed
9TZY	<=12								skipped: real_space_refine failed
9Z4O	13								skipped: real_space_refine failed
9H7U	13	2.96				4.0604	2.5924	-36.150	d_FSC only (round 13 never published its CC_mask delta)
UNKNOWN-R13-1	13								LOST: round 13 measured 4 further entries whose ids were never recorded
UNKNOWN-R13-2	13								LOST: id never recorded
UNKNOWN-R13-3	13								LOST: id never recorded
UNKNOWN-R13-4	13								LOST: id never recorded
21EO	16	3.91	0.7076	0.7683	0.0607	3.814407486247678	3.8150663670089724	0.018	measured
10ME	16	4.0	0.8149	0.8286	0.0137	3.7542096562935092	3.809575605239372	1.476	measured
32FE	16	3.81	0.7947	0.7944	-0.0003	3.840438033602942	3.839906082655453	-0.013	measured
10ZU	16	4.0	0.7577	0.7773	0.0196	3.661624477942059	3.6629335037388606	0.036	measured
5YKE	16	4.11	0.7604	0.7831	0.0227	4.059737066013651	4.037942347599758	-0.537	measured
10EU	16	3.0	0.7542	0.7698	0.0156	3.22874829958778	3.193762239974019	-1.084	measured
10EP	16	3.2	0.8032	0.8129	0.0097	3.305334910035378	3.281022827106049	-0.735	measured
10MJ	16	3.3	0.847	0.8847	0.0377	3.221585042456416	3.2223212097815725	0.022	measured
10YG	16	3.4	0.8513	0.8965	0.0452	2.854109354783229	2.854109354783229	0.0	measured
10FL	16								skipped: atom type absent from the electron scattering table: O1-
10FJ	16								skipped: atom type absent from the electron scattering table: O1-
28JV	16								skipped: unparameterised ligand: 38 atoms with unknown nonbonded energy types (no monomer-library restraints)
10DP	19	3.25	0.7554	0.903	0.1476	2.973699056249323	2.962862805031874	-0.363	measured
36QD	19	3.05	0.8922	0.8925	0.0003	2.0564829789952497	2.0565269543486697	0.0	measured
6FKF	19	3.15	0.7734	0.8067	0.0333	3.1003972625823666	3.1003972625823666	0.0	measured
11FW	19	3.35	0.8324	0.8338	0.0014	3.3125889736553904	3.3130330326422346	0.012	measured
6IFU	19	3.05	0.7957	0.8204	0.0247	3.0143790250343727	3.0110182884764423	-0.113	measured
6LX3	19	3.15	0.8494	0.8645	0.0151	3.065400913991585	3.073885208191417	0.277	measured
13LT	19	3.25	0.8036	0.7658	-0.0378	3.2029541486704014	3.2016327097392714	-0.041	measured
12QJ	19	3.35	0.5901	0.6192	0.0291	3.3374266314730576	3.32708764677077	-0.309	measured
5O5J	19	3.45	0.8734	0.855	-0.0184	3.395849865320934	3.392102400678725	-0.109	measured
6O1M	19	3.15	0.7779	0.811	0.0331	2.1287834271791897	2.0997594143957454	-1.362	measured
30EP	23	2.55	0.8864			2.52427324746991			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.990, not refined
30OD	23	3.75	0.7835			3.6370028098501717			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.970, not refined
11RN	23	2.4	0.8916			2.1940172191342078			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.914, not refined
6X3T	23	2.55	0.816			2.224170768806757			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.872, not refined
10YC	23	2.7	0.8858			2.62164813045212			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.971, not refined
5OYG	23	4.06	0.8298			3.963226081248925			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.976, not refined
12JT	23	2.4	0.8912			2.3304939193579983			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.971, not refined
6VQX	23	3.15	0.8194			3.1243205579136712			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.992, not refined
10MK	23	3.3	0.8626			3.2328554635226623			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.980, not refined
6AHC	23	3.45	0.7684			3.407794309188653			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.988, not refined
22OF	23	3.6	0.7857			3.58689675624157			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.996, not refined
6GTC	23	3.91	0.6697			3.407629469746684			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.872, not refined
6AYE	23	4.06	0.8489			3.9304167971581423			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.968, not refined
20ZG	23	2.4	0.8936			1.9683805838663633			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.820, not refined
10MI	23	3.0	0.8603			2.885847266793131			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.962, not refined
6WTZ	23	3.15	0.7217			2.7444849492610053			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.871, not refined
11BC	23	3.3	0.7026			3.3296382561797437			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 1.009, not refined
6D6Q	23	3.45	0.7728			3.394682211305769			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.984, not refined
22XK	23	3.6	0.8269			3.566645267032841			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.991, not refined
6PMJ	23	3.91	0.4297			4.27649432889169			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 1.094, not refined
6EDU	23	4.06	0.7329			4.010667412757757			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.988, not refined
20ZH	23	2.4	0.8886			1.9886464673163127			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.829, not refined
7RW6	23	2.55	0.8643			1.8678772075007117			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.733, not refined
13HR	23	2.7	0.8889			2.682995297345114			screened only (round 23): measured pre-refinement to test the crossing-quality ratio; ratio 0.994, not refined
